Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	ततः 	6	ततः 	ततः{अव्य} 	ततः{अव्य} 	हेतुः,4 	पश्चात	There after		
2	विभावित-आकृतिम् 	9	विभाविताकृतिं 	विभावित-आकृति{स्त्री}{2;एक} 	विभावित-आकृति{स्त्री}{2;एक} 	कर्म,4	निश्चित_स्वरूप_को 	conscious entity	<विभावित-आकृति>Bs6	
3	शरीरी 	7	शरीरी 	शरीरिन्{पुं}{1;एक} 	शरीरिन्{पुं}{1;एक} 	कर्ता,4 	शरीरधारी	one possessing body		
4	(अस्ति) 	0	अस्ति 	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः} 	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः} 	प्रतियोगी, 5	है 	is		अकर्मककर्तरि
5	इति 	8	इति 	इति{अव्य} 	इति{अव्य} 	अनुयोगी, 6	ऐसा 	thus		
6	(अवधारितं). 	0	अवधारितं 	अवधारित{पुं}{2;एक}/अवधारित{नपुं}{1;एक}/अवधारित{नपुं}{2;एक}. 	अवधारित{नपुं}{1;एक}. 	0	निश्चित_किया. 	understood.		कर्मणि
