
gaNa	iw_XAwu	mng	paxI	Heritage	saMsAXanI
BvAxiH	ruTiz	gawiprawiGAwe	pa.pa	-	ruT2
BvAxiH	ruTiz	gawO	pa.pa	-	ruT2
BvAxiH	ruTiz	sweye	pa.pa	-	ruT2
BvAxiH	luTiz	Alasye	pa.pa	-	luT2
BvAxiH	luTiz	gawO	pa.pa	-	luT2
BvAxiH	luTiz	sweye	pa.pa	-	luT2
BvAxiH	cuxdaz	BAvakaraNe	pa.pa	-	cuxd1
BvAxiH	cuxdaz	hAvavaraNe	pa.pa	-	cuxd1
BvAxiH	axdaz	aBiyoge	pa.pa	-	axd1
BvAxiH	kaxdaz	kArkaSye	pa.pa	-	kaxd1
BvAxiH	krIdqz	vihAre	pa.pa	krId	krId1
BvAxiH	wudqz	wodane	pa.pa	-	wud1
BvAxiH	wUdqz	wodane	pa.pa	-	wUd1
BvAxiH	hudqz	gawO	pa.pa	-	hud2
BvAxiH	hUdqz	gawO	pa.pa	-	hUd1
BvAxiH	hOdqz	gawO	pa.pa	-	hOd1
BvAxiH	rOdqz	anAxare	pa.pa	-	rOd1
BvAxiH	rodqz	unmAxe	pa.pa	-	rod1
BvAxiH	lodqz	unmAxe	pa.pa	-	lod1
BvAxiH	adaz	uxyamane	pa.pa	-	ad1
BvAxiH	ladaz	vilAse	pa.pa	-	lad1
BvAxiH	kadaz	maxe	pa.pa	-	kad1
BvAxiH	kadiz	maxe	A.pa	-	kad2
BvAxiH	kadiz	maxe	pa.pa	-	kad2
BvAxiH	wipqz	kRaraNe	A.pa	-	wip1
BvAxiH	wepqz	kampane	A.pa	-	wep1
BvAxiH	wepqz	kRaraNe	A.pa	-	wep1
BvAxiH	glepqz	kampane	A.pa	-	glep1
BvAxiH	glepqz	xEnye	A.pa	-	glep1
BvAxiH	tuvepqz	kampane	A.pa	-	vep1
BvAxiH	kepqz	kampane	A.pa	-	kep1
BvAxiH	gepqz	kampane	A.pa	-	gep1
BvAxiH	gepqz	xEnye	A.pa	-	gep1
BvAxiH	mepqz	gawO	A.pa	-	mep1
BvAxiH	repqz	gawO	A.pa	-	rep1
BvAxiH	repqz	Sabxe	A.pa	-	rep1
BvAxiH	lepqz	gawO	A.pa	-	lep1
BvAxiH	wrapUzR	lajjAyAm	A.pa	wrap	wrap1
BvAxiH	kapiz	calane	A.pa	kamp	kap1
BvAxiH	rabiz	Sabxe	A.pa	-	rab1
BvAxiH	labiz	avasraMsane	A.pa	lamb	lab1
BvAxiH	labiz	Sabxe	A.pa	lamb	lab1
BvAxiH	abiz	Sabxe	A.pa	-	ab1
BvAxiH	kabqz	varNe	A.pa	-	kab1
BvAxiH	klIbqz	aXArRtye	A.pa	-	klIb1
BvAxiH	kRIbqz	maxe	A.pa	-	kRIb1
BvAxiH	SIBqz	kawWane	A.pa	-	SIB1
BvAxiH	cIBqz	kawWane	A.pa	-	cIB1
BvAxiH	reBqz	Sabxe	A.pa	-	reB1
BvAxiH	RwaBiz	prawibanXe	A.pa	-	RwaB1
BvAxiH	skaBiz	prawibanXe	A.pa	-	skaB1
BvAxiH	jaBIz	gAwravinAme	A.pa	jaB#1	jaB1
BvAxiH	jqBiz	gAwravinAme	A.pa	jqmB	jqB1
BvAxiH	SalBaz	kawWane	A.pa	-	SalB1
BvAxiH	valBaz	Bojane	A.pa	-	valB1
BvAxiH	galBaz	XArRtye	A.pa	galB	galB1
BvAxiH	SranBuz	pramAxe	A.pa	SramB	SranB1
BvAxiH	RwuBuz	swamBe	A.pa	-	RwuB1
BvAxiH	gupUz	rakRaNe	pa.pa	-	gup1
BvAxiH	XUpaz	sanwApe	pa.pa	-	XUp1
BvAxiH	japaz	mAnase	pa.pa	jap	jap1
BvAxiH	japaz	vyakwAyAM_vAci	pa.pa	jap	jap1
BvAxiH	jalpaz	vyakwAyAM_vAci	pa.pa	jalp	jalp1
BvAxiH	capaz	sAnwvane	pa.pa	-	cap1
BvAxiH	Rapaz	samavAye	pa.pa	sap#1	Rap1
BvAxiH	rapaz	vyakwAyAM_vAci	pa.pa	-	rap1
BvAxiH	lapaz	vyakwAyAM_vAci	pa.pa	lap	lap1
BvAxiH	cupaz	manxAyAM_gawO	pa.pa	-	cup1
BvAxiH	wupaz	hiMsAyAm	pa.pa	wup	wup1
BvAxiH	wrupaz	hiMsAyAm	pa.pa	-	wrup1
BvAxiH	wuPaz	hiMsAyAm	pa.pa	-	wuP1
BvAxiH	wruPaz	hiMsAyAm	pa.pa	-	wruP1
BvAxiH	wrunPaz	hiMsAyAm	pa.pa	-	wrunP1
BvAxiH	parpaz	gawO	pa.pa	-	parp1
BvAxiH	raPaz	gawO	pa.pa	-	raP1
BvAxiH	arbaz	gawO	pa.pa	-	arb1
BvAxiH	parbaz	gawO	pa.pa	-	parb1
BvAxiH	larbaz	gawO	pa.pa	-	larb1
BvAxiH	barbaz	gawO	pa.pa	-	barb1
BvAxiH	marbaz	gawO	pa.pa	-	marb1
BvAxiH	karbaz	gawO	pa.pa	-	karb1
BvAxiH	Karbaz	gawO	pa.pa	-	Karb1
BvAxiH	garbaz	gawO	pa.pa	-	garb1
BvAxiH	Sarbaz	gawO	pa.pa	-	Sarb1
BvAxiH	Rarbaz	gawO	pa.pa	-	Rarb1
BvAxiH	carbaz	gawO	pa.pa	-	carb1
BvAxiH	kubiz	AcCAxane	pa.pa	-	kub1
BvAxiH	kubiz	arxane	pa.pa	-	kub1
BvAxiH	lubiz	arxane	pa.pa	-	lub1
BvAxiH	wubiz	arxane	pa.pa	-	wub1
BvAxiH	cubiz	vakwrasaMyoge	pa.pa	cumb	cub1
BvAxiH	RqBuz	hiMsAyAm	pa.pa	-	RqB1
BvAxiH	sqnBuz	hiMsAyAm	pa.pa	-	sqnB1
BvAxiH	SuBaz	BARaNe	pa.pa	SuB#1	SuB1
BvAxiH	SuBaz	hiMsAyAm	pa.pa	SuB#1	SuB1
BvAxiH	SunBaz	BARaNe	pa.pa	SumB	SunB1
BvAxiH	SunBaz	hiMsAyAm	pa.pa	SumB	SunB1
BvAxiH	GiNiz	grahaNe	A.pa	-	GiN1
BvAxiH	GuNiz	grahaNe	A.pa	-	GuN1
BvAxiH	GqNiz	grahaNe	A.pa	-	GqN1
BvAxiH	GuNaz	BramaNe	A.pa	-	GuN2
BvAxiH	GUrNaz	BramaNe	A.pa	GUrN	GUrN1
BvAxiH	paNaz	swuwO	A.pa	paN	paN1
BvAxiH	paNaz	vyavahAre	A.pa	paN	paN1
BvAxiH	panaz	swuwO	A.pa	-	pan1
BvAxiH	panaz	vyavahAre	A.pa	-	pan1
BvAxiH	BAmaz	kroXe	A.pa	-	BAm1
BvAxiH	kRamUzR	sahane	A.pa	kRam	kRam1
BvAxiH	kamuz	kAnwO	A.pa	kam	kam1
BvAxiH	aNaz	Sabxe	pa.pa	-	aN1
BvAxiH	raNaz	Sabxe	pa.pa	raN	raN1
BvAxiH	vaNaz	Sabxe	pa.pa	-	vaN1
BvAxiH	BaNaz	Sabxe	pa.pa	BaN	BaN1
BvAxiH	maNaz	Sabxe	pa.pa	-	maN1
BvAxiH	kaNaz	Sabxe	pa.pa	-	kaN1
BvAxiH	kvaNaz	Sabxe	pa.pa	kvaN	kvaN1
BvAxiH	vraNaz	Sabxe	pa.pa	-	vraN1
BvAxiH	BraNaz	Sabxe	pa.pa	-	BraN1
BvAxiH	XvaNaz	Sabxe	pa.pa	-	XvaN1
BvAxiH	oNqz	apanayane	pa.pa	-	oN1
BvAxiH	SoNqz	gawO	pa.pa	-	SoN1
BvAxiH	SoNqz	varNe	pa.pa	-	SoN1
BvAxiH	SroNqz	gawiprawiGAwe	pa.pa	-	SroN1
BvAxiH	SroNqz	safGAwe	pa.pa	-	SroN1
BvAxiH	SloNqz	gawiprawiGAwe	pa.pa	-	SloN1
BvAxiH	SloNqz	safGAwe	pa.pa	-	SloN1
BvAxiH	pENqz	gawO	pa.pa	-	pEN1
BvAxiH	pENqz	preraNe	pa.pa	-	pEN1
BvAxiH	pENqz	SleRaNe	pa.pa	-	pEN1
BvAxiH	XaNaz	Sabxe	pa.pa	-	XaN1
BvAxiH	kanIz	gawO	pa.pa	kan	kan1
BvAxiH	kanIz	kAnwO	pa.pa	kan	kan1
BvAxiH	kanIz	xIpwO	pa.pa	kan	kan1
BvAxiH	swanaz	Sabxe	pa.pa	swan,tan#2(4)	swan1
BvAxiH	vanaz	BakwO	pa.pa	van	van1
BvAxiH	vanaz	Sabxe	pa.pa	van	van1
BvAxiH	vanaz	samBakwO	pa.pa	van	van1
BvAxiH	RaNaz	BakwO	pa.pa	-	RaN1
BvAxiH	amaz	gawO	pa.pa	am	am1
BvAxiH	xramaz	gawO	pa.pa	-	xram1
BvAxiH	hammaz	gawO	pa.pa	-	hamm1
BvAxiH	mImqz	gawO	pa.pa	-	mIm1
BvAxiH	mImqz	Sabxe	pa.pa	-	mIm1
BvAxiH	camuz	axane	pa.pa	cam	cam1
BvAxiH	Camuz	axane	pa.pa	-	Cam1
BvAxiH	jamuz	axane	pa.pa	jam	jam1
BvAxiH	Jamuz	axane	pa.pa	-	Jam1
BvAxiH	kramuz	pAxavikRepe	pa.pa	kram	kram1
BvAxiH	ayaz	gawO	A.pa	-	ay1
BvAxiH	ayaz	gawO	pa.pa	-	ay1
BvAxiH	vayaz	gawO	A.pa	-	vay1
BvAxiH	payaz	gawO	A.pa	-	pay1
BvAxiH	mayaz	gawO	A.pa	-	may1
BvAxiH	cayaz	gawO	A.pa	-	cay1
BvAxiH	wayaz	gawO	A.pa	-	way1
BvAxiH	wayaz	rakRaNe	A.pa	-	way1
BvAxiH	Nayaz	gawO	A.pa	-	Nay1
BvAxiH	Nayaz	rakRaNe	A.pa	-	Nay1
BvAxiH	xayaz	AxAne	A.pa	-	xay1
BvAxiH	xayaz	gawO	A.pa	xay	xay1
BvAxiH	xayaz	hiMsAyAm	A.pa	xay	xay1
BvAxiH	xayaz	rakRaNe	A.pa	xay	xay1
BvAxiH	xayaz	xAne	A.pa	-	xay1
BvAxiH	rayaz	gawO	A.pa	-	ray1
BvAxiH	UyIz	wanwusanwAne	A.pa	-	Uy1
BvAxiH	pUyIz	viSaraNe	A.pa	pUy	pUy1
BvAxiH	pUyIz	xurganXe	A.pa	pUy	pUy1
BvAxiH	knUyIz	Sabxe	A.pa	-	knUy1
BvAxiH	knUyIz	unxe	A.pa	-	knUy1
BvAxiH	kRmAyIz	viXUnane	A.pa	-	kRmAy1
BvAxiH	sPAyIz	vqxXO	A.pa	sPA	sPAy1
BvAxiH	ozpyAyIz	vqxXO	A.pa	pyA	pyAy1
BvAxiH	wAyqz	pAlane	A.pa	-	wAy1
BvAxiH	wAyqz	sanwAne	A.pa	-	wAy1
BvAxiH	Salaz	calane	A.pa	-	Sal1
BvAxiH	Salaz	saMvaraNe	A.pa	-	Sal1
BvAxiH	Salaz	ASugamane	pa.pa	Sal	Sal2
BvAxiH	Salaz	gawO	pa.pa	Sal	Sal2
BvAxiH	valaz	saFcaraNe	A.pa	val	val1
BvAxiH	valaz	saMvaraNe	A.pa	val	val1
BvAxiH	vallaz	saFcaraNe	A.pa	-	vall1
BvAxiH	vallaz	saMvaraNe	A.pa	-	vall1
BvAxiH	malaz	XAraNe	A.pa	-	mal1
BvAxiH	mallaz	XAraNe	A.pa	-	mall1
BvAxiH	Balaz	hiMsAyAm	A.pa	-	Bal1
BvAxiH	Balaz	pariBARaNe	A.pa	-	Bal1
BvAxiH	Balaz	xAne	A.pa	-	Bal1
BvAxiH	Ballaz	hiMsAyAm	A.pa	-	Ball1
BvAxiH	Ballaz	pariBARaNe	A.pa	-	Ball1
BvAxiH	Ballaz	xAne	A.pa	-	Ball1
BvAxiH	kalaz	Sabxe	A.pa	-	kal1
BvAxiH	kalaz	safKyAne	A.pa	-	kal1
BvAxiH	kallaz	avyakwe_Sabxe	A.pa	-	kall1
BvAxiH	wevqz	xevane	A.pa	-	wev1
BvAxiH	xevqz	xevane	A.pa	xev	xev1
BvAxiH	sevqz	sevane	A.pa	sev	sev1
BvAxiH	gevqz	secane	A.pa	-	gev1
BvAxiH	glevqz	secane	A.pa	-	glev1
BvAxiH	glevqz	sevane	A.pa	-	glev1
BvAxiH	pevqz	secane	A.pa	-	pev1
BvAxiH	pevqz	sevane	A.pa	-	pev1
BvAxiH	mevqz	secane	A.pa	-	mev1
BvAxiH	mevqz	sevane	A.pa	-	mev1
BvAxiH	mlevqz	secane	A.pa	-	mlev1
BvAxiH	mlevqz	sevane	A.pa	-	mlev1
BvAxiH	Sevqz	secane	A.pa	-	Sev1
BvAxiH	Sevqz	sevane	A.pa	-	Sev1
BvAxiH	Kevqz	sevane	A.pa	-	Kev1
BvAxiH	kevqz	sevane	A.pa	-	kev1
BvAxiH	revqz	gawO	A.pa	-	rev1
BvAxiH	revqz	pluwigawO	A.pa	-	rev1
BvAxiH	mavyaz	banXane	pa.pa	-	mavy1
BvAxiH	sUrkRyaz	anAxare	pa.pa	-	sUrkRy1
BvAxiH	sUrkRyaz	IrRyAyAm	pa.pa	-	sUrkRy1
BvAxiH	IrkRyaz	IrRyAyAm	pa.pa	-	IrkRy1
BvAxiH	IrRyaz	IrRyAyAm	pa.pa	IrR	IrRy1
BvAxiH	hayaz	gawO	pa.pa	-	hay1
BvAxiH	hayaz	kAnwO	pa.pa	-	hay1
BvAxiH	Sucyaz	aBiRave	pa.pa	-	Sucy1
BvAxiH	haryaz	gawO	pa.pa	-	hary1
BvAxiH	haryaz	kAnwO	pa.pa	-	hary1
BvAxiH	alaz	BURAyAm	pa.pa	-	al1
BvAxiH	alaz	paryApwO	pa.pa	-	al1
BvAxiH	alaz	vAraNe	pa.pa	-	al1
BvAxiH	FiPalAz	viSaraNe	pa.pa	Pal	Pal1
BvAxiH	mIlaz	nimeRaNe	pa.pa	mIl	mIl1
BvAxiH	SmIlaz	nimeRaNe	pa.pa	-	SmIl1
BvAxiH	smIlaz	nimeRaNe	pa.pa	-	smIl1
BvAxiH	kRmIlaz	nimeRaNe	pa.pa	-	kRmIl1
BvAxiH	pIlaz	prawiRtamBe	pa.pa	-	pIl1
BvAxiH	NIlaz	varNe	pa.pa	-	NIl1
BvAxiH	SIlaz	nimeRaNe	pa.pa	SIl	SIl1
BvAxiH	SIlaz	samAXO	pa.pa	-	SIl1
BvAxiH	kIlaz	banXane	pa.pa	kIl	kIl1
BvAxiH	kUlaz	AvaraNe	pa.pa	-	kUl1
BvAxiH	SUlaz	rujAyAm	pa.pa	-	SUl1
BvAxiH	SUlaz	safGAwe	pa.pa	-	SUl1
BvAxiH	wUlaz	niRkarRe	pa.pa	-	wUl1
BvAxiH	pUlaz	safGAwe	pa.pa	-	pUl1
BvAxiH	mUlaz	prawiRTAyAm	pa.pa	-	mUl1
BvAxiH	Palaz	niRpawwO	pa.pa	-	Pal2
BvAxiH	cullaz	BAvakaraNe	pa.pa	-	cull1
BvAxiH	cullaz	hAvakaraNe	pa.pa	-	cull1
BvAxiH	Pullaz	vikasane	pa.pa	-	Pull1
BvAxiH	cillaz	BAvakaraNe	pa.pa	-	cill1
BvAxiH	cillaz	SEWilye	pa.pa	-	cill1
BvAxiH	wilaz	gawO	pa.pa	-	wil1
BvAxiH	willaz	gawO	pa.pa	-	will1
BvAxiH	velqz	calane	pa.pa	-	vel1
BvAxiH	celqz	calane	pa.pa	-	cel1
BvAxiH	kelqz	calane	pa.pa	-	kel1
BvAxiH	Kelqz	calane	pa.pa	Kel	Kel1
BvAxiH	kRvelqz	calane	pa.pa	-	kRvel1
BvAxiH	vellaz	calane	pa.pa	-	vell1
BvAxiH	pelqz	gawO	pa.pa	-	pel1
BvAxiH	Pelqz	gawO	pa.pa	-	Pel1
BvAxiH	Selqz	gawO	pa.pa	-	Sel1
BvAxiH	sKalaz	saFcalane	pa.pa	sKal	sKal1
BvAxiH	Kalaz	calane	pa.pa	-	Kal1
BvAxiH	Kalaz	saFcalane	pa.pa	-	Kal1
BvAxiH	Kalaz	saFcaye	pa.pa	-	Kal1
BvAxiH	galaz	axane	pa.pa	gal	gal1
BvAxiH	galaz	garaNe	pa.pa	gal	gal1
BvAxiH	Ralaz	gawO	pa.pa	-	Ral1
BvAxiH	xalaz	viSaraNe	pa.pa	xal	xal1
BvAxiH	Svalaz	ASugamane	pa.pa	-	Sval1
BvAxiH	Svallaz	ASugamane	pa.pa	-	Svall1
BvAxiH	Kolqz	gawiprawiGAwe	pa.pa	-	Kol1
BvAxiH	Korqz	gawiprawiGAwe	pa.pa	-	Kor1
BvAxiH	Xorqz	gawicAwurye	pa.pa	-	Xor1
BvAxiH	wsaraz	CaxmagawO	pa.pa	wsar	wsar1
BvAxiH	kmaraz	hUrcCane	pa.pa	-	kmar1
BvAxiH	aBraz	gawO	pa.pa	-	aBr1
BvAxiH	vaBraz	gawO	pa.pa	-	vaBr1
BvAxiH	maBraz	gawO	pa.pa	-	maBr1
BvAxiH	caraz	gawO	pa.pa	car	car1
BvAxiH	RTivuz	nirasane	pa.pa	RTIv	RTiv1
BvAxiH	ji	aBiBave	pa.pa	ji	ji1
BvAxiH	ji	jaye	pa.pa	ji	ji1
BvAxiH	jIvaz	prANaXAraNe	pa.pa	jIv	jIv1
BvAxiH	pIvaz	sWOlye	pa.pa	-	pIv1
BvAxiH	mIvaz	sWOlye	pa.pa	-	mIv1
BvAxiH	wIvaz	sWOlye	pa.pa	-	wIv1
BvAxiH	NIvaz	sWOlye	pa.pa	-	NIv1
BvAxiH	kRIvuz	nirasane	pa.pa	-	kRIv1
BvAxiH	urvIz	hiMsAyAm	pa.pa	-	urv1
BvAxiH	wurvIz	hiMsAyAm	pa.pa	-	wurv1
BvAxiH	WurvIz	hiMsAyAm	pa.pa	-	Wurv1
BvAxiH	xurvIz	hiMsAyAm	pa.pa	-	xurv1
BvAxiH	XurvIz	hiMsAyAm	pa.pa	-	Xurv1
BvAxiH	gurvIz	uxyamane	pa.pa	-	gurv1
BvAxiH	murvIz	banXane	pa.pa	-	murv1
BvAxiH	purvaz	pUrwO	pa.pa	-	purv1
BvAxiH	parvaz	gawO	pa.pa	-	parv1
BvAxiH	parvaz	pUraNe	pa.pa	-	parv1
BvAxiH	parvaz	pUrwO	pa.pa	-	parv1
BvAxiH	marvaz	pUraNe	pa.pa	-	marv1
BvAxiH	marvaz	pUrwO	pa.pa	-	marv1
BvAxiH	carvaz	axane	pa.pa	-	carv1
BvAxiH	Barvaz	hiMsAyAm	pa.pa	-	Barv1
BvAxiH	karvaz	xarpe	pa.pa	-	karv1
BvAxiH	Karvaz	xarpe	pa.pa	-	Karv1
BvAxiH	garvaz	xarpe	pa.pa	-	garv1
BvAxiH	arvaz	hiMsAyAm	pa.pa	-	arv1
BvAxiH	Sarvaz	hiMsAyAm	pa.pa	-	Sarv1
BvAxiH	Rarvaz	hiMsAyAm	pa.pa	-	Rarv1
BvAxiH	iviz	prINane	pa.pa	-	iv1
BvAxiH	iviz	vyApwO	pa.pa	inv	iv1
BvAxiH	piviz	secane	pa.pa	-	piv1
BvAxiH	piviz	sevane	pa.pa	-	piv1
BvAxiH	piviz	sraMsane	pa.pa	-	piv1
BvAxiH	miviz	secane	pa.pa	-	miv1
BvAxiH	miviz	sevane	pa.pa	-	miv1
BvAxiH	miviz	sraMsane	pa.pa	-	miv1
BvAxiH	Niviz	secane	pa.pa	-	Niv1
BvAxiH	Niviz	sevane	pa.pa	-	Niv1
BvAxiH	Niviz	sraMsane	pa.pa	-	Niv1
BvAxiH	hiviz	prINane	pa.pa	-	hiv1
BvAxiH	xiviz	prINane	pa.pa	-	xiv1
BvAxiH	Xiviz	prINane	pa.pa	-	Xiv1
BvAxiH	jiviz	prINane	pa.pa	jinv	jiv1
BvAxiH	riviz	gawO	pa.pa	-	riv1
BvAxiH	raviz	gawO	pa.pa	-	rav1
BvAxiH	Xaviz	gawO	pa.pa	-	Xav1
BvAxiH	kqviz	hiMsAyAm	pa.pa	-	kqv1
BvAxiH	kqviz	karaNe	pa.pa	-	kqv1
BvAxiH	mavaz	banXane	pa.pa	-	mav1
BvAxiH	avaz	Alifgane	pa.pa	-	av1
BvAxiH	avaz	avagamane	pa.pa	-	av1
BvAxiH	avaz	avApwO	pa.pa	av	av1
BvAxiH	avaz	BAge	pa.pa	-	av1
BvAxiH	avaz	gawO	pa.pa	av	av1
BvAxiH	avaz	hiMsAyAm	pa.pa	-	av1
BvAxiH	avaz	icCAyAm	pa.pa	-	av1
BvAxiH	avaz	kAnwO	pa.pa	-	av1
BvAxiH	avaz	kriyAyAm	pa.pa	-	av1
BvAxiH	avaz	praveSane	pa.pa	-	av1
BvAxiH	avaz	prIwO	pa.pa	-	av1
BvAxiH	avaz	rakRaNe	pa.pa	-	av1
BvAxiH	avaz	SravaNe	pa.pa	-	av1
BvAxiH	avaz	svAmyarWe	pa.pa	-	av1
BvAxiH	avaz	vqxXO	pa.pa	-	av1
BvAxiH	avaz	wqpwO	pa.pa	av	av1
BvAxiH	avaz	xAne	pa.pa	-	av1
BvAxiH	avaz	xIpwO	pa.pa	-	av1
BvAxiH	avaz	yAFcAyAm	pa.pa	-	av1
BvAxiH	XAvuz	gawO	A.pa	XAv#1	XAv1
BvAxiH	XAvuz	gawO	pa.pa	XAv#1	XAv1
BvAxiH	XAvuz	SuxXO	A.pa	XAv#2	XAv1
BvAxiH	XAvuz	SuxXO	pa.pa	XAv#2	XAv1
BvAxiH	XukRaz	jIvane	A.pa	XukR	XukR1
BvAxiH	XukRaz	kleSane	A.pa	XukR	XukR1
BvAxiH	XukRaz	sanxIpane	A.pa	XukR	XukR1
BvAxiH	XikRaz	jIvane	A.pa	-	XikR1
BvAxiH	XikRaz	kleSane	A.pa	-	XikR1
BvAxiH	XikRaz	sanxIpane	A.pa	-	XikR1
BvAxiH	vqkRaz	varaNe	A.pa	-	vqkR1
BvAxiH	SikRaz	vixyopAxAne	A.pa	-	SikR1
BvAxiH	BikRaz	alABe	A.pa	-	BikR1
BvAxiH	BikRaz	BikRAyAm	A.pa	-	BikR1
BvAxiH	BikRaz	lABe	A.pa	-	BikR1
BvAxiH	BikRaz	yAFcAyAm	A.pa	-	BikR1
BvAxiH	kleSaz	avyakwAyAM_vAci	A.pa	-	kleS1
BvAxiH	kleSaz	vyakwAyAM_vAci	A.pa	-	kleS1
BvAxiH	xIkRaz	ijyAyAm	A.pa	xIkR	xIkR1
BvAxiH	xIkRaz	mONdye	A.pa	xIkR	xIkR1
BvAxiH	xIkRaz	niyame	A.pa	xIkR	xIkR1
BvAxiH	xIkRaz	upanayane	A.pa	xIkR	xIkR1
BvAxiH	xIkRaz	vrawAxeSe	A.pa	xIkR	xIkR1
BvAxiH	IkRaz	xarSane	A.pa	IkR	IkR1
BvAxiH	IRaz	gawO	A.pa	IR	IR1
BvAxiH	IRaz	hiMsAyAm	A.pa	-	IR1
BvAxiH	BARaz	vyakwAyAM_vAci	A.pa	BAR	BAR1
BvAxiH	varRaz	snehane	A.pa	-	varR1
BvAxiH	geRqz	anvicCAyAm	A.pa	-	geR1
BvAxiH	gleRqz	anvicCAyAm	A.pa	-	gleR1
BvAxiH	eRqz	gawO	A.pa	-	eR1
BvAxiH	eRqz	prayawne	A.pa	-	eR1
BvAxiH	yeRqz	prayawne	A.pa	-	yeR1
BvAxiH	jeRqz	gawO	A.pa	-	jeR1
BvAxiH	NeRqz	gawO	A.pa	-	NeR1
BvAxiH	preRqz	gawO	A.pa	-	preR1
BvAxiH	preRqz	yawne	A.pa	-	preR1
BvAxiH	reRqz	avyakwe_Sabxe	A.pa	-	reR1
BvAxiH	heRqz	avyakwe_Sabxe	A.pa	-	heR1
BvAxiH	hreRqz	gawO	A.pa	-	hreR1
BvAxiH	kAsqz	SabxakuwsAyAm	A.pa	kAs#1	kAs1
BvAxiH	BAsqz	xIpwO	A.pa	BAs#1	BAs1
BvAxiH	NAsqz	Sabxe	A.pa	-	NAs1
BvAxiH	rAsqz	Sabxe	A.pa	-	rAs1
BvAxiH	Nasaz	kOtilye	A.pa	-	Nas1
BvAxiH	Byasaz	Baye	A.pa	-	Byas1
BvAxiH	AfaH-Sasiz	icCAyAm	A.pa	-	AfaH-Sas1
BvAxiH	grasuz	axane	A.pa	gras	gras1
BvAxiH	glasuz	axane	A.pa	-	glas1
BvAxiH	Ihaz	ceRtAyAm	A.pa	Ih	Ih1
BvAxiH	bahiz	vqxXO	A.pa	baMh	bah1
BvAxiH	mahiz	vqxXO	A.pa	maMh	mah2
BvAxiH	ahiz	gawO	A.pa	-	ah1
BvAxiH	garhaz	kuwsAyAm	A.pa	garh	garh1
BvAxiH	galhaz	kuwsAyAm	A.pa	-	galh1
BvAxiH	barhaz	hiMsAyAm	A.pa	-	barh1
BvAxiH	barhaz	pariBARaNe	A.pa	-	barh1
BvAxiH	barhaz	prAXAnye	A.pa	-	barh1
BvAxiH	barhaz	xAne	A.pa	-	barh1
BvAxiH	balhaz	hiMsAyAm	A.pa	-	balh1
BvAxiH	balhaz	pariBARaNe	A.pa	-	balh1
BvAxiH	balhaz	prAXAnye	A.pa	-	balh1
BvAxiH	balhaz	xAne	A.pa	-	balh1
BvAxiH	valhaz	hiMsAyAm	A.pa	-	valh1
BvAxiH	valhaz	pariBARaNe	A.pa	-	valh1
BvAxiH	valhaz	prAXAnye	A.pa	-	valh1
BvAxiH	valhaz	xAne	A.pa	-	valh1
BvAxiH	varhaz	hiMsAyAm	A.pa	-	varh1
BvAxiH	varhaz	pariBARaNe	A.pa	-	varh1
BvAxiH	varhaz	xAne	A.pa	-	varh1
BvAxiH	plihaz	gawO	A.pa	-	plih1
BvAxiH	vehqz	prayawne	A.pa	-	veh1
BvAxiH	jehqz	prayawne	A.pa	-	jeh1
BvAxiH	bAhqz	prayawne	A.pa	-	bAh1
BvAxiH	vAhqz	prayawne	A.pa	-	vAh1
BvAxiH	xrAhqz	nikRepe	A.pa	-	xrAh1
BvAxiH	kASqz	xIpwO	A.pa	kAS	kAS1
BvAxiH	Uhaz	viwarke	A.pa	Uh	Uh1
BvAxiH	gAhUz	vilodane	A.pa	gAh	gAh1
BvAxiH	gqhUz	grahaNe	A.pa	-	gqh1
BvAxiH	GuRiz	kAnwikaraNe	A.pa	-	GuR1
BvAxiH	GuRizr	Sabxe	pa.pa	GuR	GuR2
BvAxiH	akRUz	safGAwe	pa.pa	-	akR1
BvAxiH	akRUz	vyApwO	pa.pa	akR	akR1
BvAxiH	wakRUz	wanUkaraNe	pa.pa	wakR	wakR1
BvAxiH	wvakRUz	wanUkaraNe	pa.pa	wvakR	wvakR1
BvAxiH	ukRaz	secane	pa.pa	ukR(6)	ukR1
BvAxiH	rakRaz	pAlane	pa.pa	rakR	rakR1
BvAxiH	NikRaz	cumbane	pa.pa	-	NikR1
BvAxiH	wqkRaz	gawO	pa.pa	-	wqkR1
BvAxiH	swqkRaz	gawO	pa.pa	-	swqkR1
BvAxiH	NakRaz	gawO	pa.pa	nakR	NakR1
BvAxiH	vakRaz	roRe	pa.pa	vakR	vakR1
BvAxiH	vakRaz	safGAwe	pa.pa	vakR	vakR1
BvAxiH	mqkRaz	safGAwe	pa.pa	-	mqkR1
BvAxiH	mrakRaz	safGAwe	pa.pa	-	mrakR1
BvAxiH	wakRaz	wvacane	pa.pa	-	wakR2
BvAxiH	pakRaz	parigrahe	pa.pa	-	pakR1
BvAxiH	sUrkRaz	Axare	pa.pa	-	sUrkR1
BvAxiH	kAkRiz	kAfkRAyAm	pa.pa	kAfkR1	kAkR1
BvAxiH	vAkRiz	kAfkRAyAm	pa.pa	-	vAkR1
BvAxiH	mAkRiz	kAfkRAyAm	pa.pa	-	mAkR1
BvAxiH	xrAkRiz	GoravAsiwe	pa.pa	-	xrAkR1
