
gaNa	iw_XAwu	mng	paxI	Heritage	saMsAXanI
BvAxiH	kaxiz	AhvAne	pa.pa	-	kax1
BvAxiH	kaxiz	roxane	pa.pa	-	kax1
BvAxiH	kraxiz	AhvAne	pa.pa	kranx	krax2
BvAxiH	kraxiz	roxane	pa.pa	kranx	krax2
BvAxiH	klixiz	parixevane	A.pa	-	klix1
BvAxiH	klixiz	parixevane	pa.pa	-	klix1
BvAxiH	SunXaz	SuxXO	pa.pa	-	SunX1
BvAxiH	SIkqz	gawO	A.pa	-	SIk1
BvAxiH	SIkqz	secane	A.pa	-	SIk1
BvAxiH	lokqz	xarSane	A.pa	lok	lok1
BvAxiH	Slokqz	safGAwe	A.pa	-	Slok1
BvAxiH	xrekqz	Sabxe	A.pa	-	xrek1
BvAxiH	xrekqz	uwsAhe	A.pa	-	xrek1
BvAxiH	Xrekqz	Sabxe	A.pa	-	Xrek1
BvAxiH	Xrekqz	uwsAhe	A.pa	-	Xrek1
BvAxiH	rekqz	SafkAyAm	A.pa	-	rek1
BvAxiH	sekqz	gawO	A.pa	-	sek1
BvAxiH	srekqz	gawO	A.pa	-	srek1
BvAxiH	srakiz	gawO	A.pa	-	srak1
BvAxiH	Srakiz	gawO	A.pa	-	Srak1
BvAxiH	Slakiz	gawO	A.pa	-	Slak1
BvAxiH	Sakiz	SafkAyAm	A.pa	Safk	Sak1
BvAxiH	akiz	lakRaNe	A.pa	-	ak2
BvAxiH	makiz	maNdane	A.pa	-	mak1
BvAxiH	kakaz	lOlye	A.pa	-	kak1
BvAxiH	kukaz	AxAne	A.pa	-	kuk1
BvAxiH	vqkaz	AxAne	A.pa	-	vqk1
BvAxiH	cakaz	prawiGAwe	A.pa	-	cak1
BvAxiH	cakaz	prawiGAwe	pa.pa	-	cak1
BvAxiH	kakiz	gawO	A.pa	-	kak2
BvAxiH	vakiz	gawO	A.pa	-	vak1
BvAxiH	vakiz	kOtilye	A.pa	-	vak1
BvAxiH	Svakiz	gawO	A.pa	-	Svak1
BvAxiH	wrakiz	gawO	A.pa	-	wrak1
BvAxiH	DOkqz	gawO	A.pa	-	DOk1
BvAxiH	wrOkqz	gawO	A.pa	-	wrOk1
BvAxiH	RvaRkaz	gawO	A.pa	-	RvaRk1
BvAxiH	vaskaz	gawO	A.pa	-	vask1
BvAxiH	maskaz	gawO	A.pa	-	mask1
BvAxiH	tikqz	gawO	A.pa	-	tik1
BvAxiH	tIkqz	gawO	A.pa	-	tIk1
BvAxiH	wikqz	gawO	A.pa	-	wik1
BvAxiH	raGiz	gawO	A.pa	-	raG1
BvAxiH	aGiz	gawyAkRepe	A.pa	-	aG1
BvAxiH	vaGiz	gawyAkRepe	A.pa	-	vaG1
BvAxiH	maGiz	gawyAkRepe	A.pa	-	maG1
BvAxiH	rAGqz	sAmarWye	A.pa	-	rAG1
BvAxiH	lAGqz	sAmarWye	A.pa	-	lAG1
BvAxiH	XrAGqz	sAmarWye	A.pa	-	XrAG1
BvAxiH	xrAGqz	AyAme	A.pa	-	xrAG1
BvAxiH	xrAGqz	AyAse	A.pa	-	xrAG1
BvAxiH	xrAGqz	sAmarWye	A.pa	-	xrAG1
BvAxiH	SlAGqz	kawWane	A.pa	SlAG	SlAG1
BvAxiH	Pakkaz	nIcErgawO	pa.pa	-	Pakk1
BvAxiH	wakaz	hasane	pa.pa	-	wak1
BvAxiH	wakiz	kqcCrajIvane	pa.pa	-	wak2
BvAxiH	bukkaz	BaRaNe	pa.pa	-	bukk1
BvAxiH	bukkaz	BARaNe	pa.pa	-	bukk1
BvAxiH	kaKaz	hasane	pa.pa	-	kaK1
BvAxiH	oKqz	alamarWe	pa.pa	-	oK1
BvAxiH	oKqz	SoRaNe	pa.pa	-	oK1
BvAxiH	rAKqz	alamarWe	pa.pa	-	rAK1
BvAxiH	rAKqz	SoRaNe	pa.pa	-	rAK1
BvAxiH	lAKqz	alamarWe	pa.pa	-	lAK1
BvAxiH	lAKqz	SoRaNe	pa.pa	-	lAK1
BvAxiH	xrAKqz	alamarWe	pa.pa	-	xrAK1
BvAxiH	xrAKqz	SoRaNe	pa.pa	-	xrAK1
BvAxiH	XrAKqz	alamarWe	pa.pa	-	XrAK1
BvAxiH	XrAKqz	SoRaNe	pa.pa	-	XrAK1
BvAxiH	SAKqz	vyApwO	pa.pa	-	SAK1
BvAxiH	SlAKqz	vyApwO	pa.pa	-	SlAK1
BvAxiH	uKaz	gawO	pa.pa	-	uK2
BvAxiH	uKiz	gawO	pa.pa	-	uK1
BvAxiH	vaKaz	gawO	pa.pa	-	vaK1
BvAxiH	vaKiz	gawO	pa.pa	-	vaK2
BvAxiH	maKaz	gawO	pa.pa	-	maK1
BvAxiH	maKiz	gawO	pa.pa	-	maK2
BvAxiH	NaKaz	gawO	pa.pa	-	NaK1
BvAxiH	NaKiz	gawO	pa.pa	-	NaK2
BvAxiH	raKaz	gawO	pa.pa	-	raK1
BvAxiH	raKiz	gawO	pa.pa	-	raK2
BvAxiH	laKaz	gawO	pa.pa	-	laK1
BvAxiH	laKiz	gawO	pa.pa	-	laK2
BvAxiH	iKaz	gawO	pa.pa	-	iK1
BvAxiH	iKiz	gawO	pa.pa	-	iK2
BvAxiH	IKiz	gawO	pa.pa	IfK	IK1
BvAxiH	ragiz	gawO	pa.pa	-	rag1
BvAxiH	lagiz	gawO	pa.pa	lafg	lag1
BvAxiH	agiz	gawO	pa.pa	afg	ag2
BvAxiH	vagiz	gawO	pa.pa	-	vag1
BvAxiH	magiz	gawO	pa.pa	-	mag1
BvAxiH	wagiz	gawO	pa.pa	-	wag1
BvAxiH	wvagiz	gawO	pa.pa	-	wvag1
BvAxiH	wvagiz	kampane	pa.pa	-	wvag1
BvAxiH	Sragiz	gawO	pa.pa	-	Srag1
BvAxiH	Slagiz	gawO	pa.pa	-	Slag1
BvAxiH	igiz	gawO	pa.pa	ifg	ig1
BvAxiH	rigiz	gawO	pa.pa	-	rig1
BvAxiH	ligiz	gawO	pa.pa	-	lig1
BvAxiH	yugiz	varjane	pa.pa	-	yug1
BvAxiH	jugiz	varjane	pa.pa	-	jug1
BvAxiH	GaGaz	hasane	pa.pa	-	GaG1
BvAxiH	laGiz	BojananivqwwO	A.pa	lafG	laG1
BvAxiH	laGiz	gawO	A.pa	lafG	laG1
BvAxiH	laGiz	SoRaNe	pa.pa	lafG	laG2
BvAxiH	maGiz	kEwave	A.pa	-	maG1
BvAxiH	maGiz	maNdane	pa.pa	-	maG2
BvAxiH	SiGiz	AGrANe	pa.pa	-	SiG1
BvAxiH	varcaz	xIpwO	A.pa	-	varc1
BvAxiH	Racaz	samavAye	A.pa	sac	Rac2
BvAxiH	Racaz	samavAye	pa.pa	-	Rac2
BvAxiH	locqz	xarSane	A.pa	loc	loc1
BvAxiH	Sacaz	vyakwAyAM_vAci	A.pa	-	Sac1
BvAxiH	Svacaz	gawO	A.pa	-	Svac1
BvAxiH	Svaciz	gawO	A.pa	-	Svac2
BvAxiH	kacaz	banXane	A.pa	-	kac1
BvAxiH	kaciz	banXane	A.pa	-	kac2
BvAxiH	kaciz	xIpwO	A.pa	-	kac2
BvAxiH	kAciz	banXane	A.pa	-	kAc1
BvAxiH	kAciz	xIpwO	A.pa	-	kAc1
BvAxiH	macaz	kalkane	A.pa	-	mac1
BvAxiH	muciz	kalkane	A.pa	-	muc1
BvAxiH	maciz	pUjane	A.pa	-	mac2
BvAxiH	maciz	ucCrAye	A.pa	-	mac2
BvAxiH	maciz	XAraNe	A.pa	-	mac2
BvAxiH	paciz	vyakwIkaraNe	A.pa	-	pac2
BvAxiH	Rwucaz	prasAxe	A.pa	-	Rwuc1
BvAxiH	qjaz	gawO	A.pa	qj	qj1
BvAxiH	qjaz	sWAnArjane	A.pa	qj	qj1
BvAxiH	qjaz	upArjane	A.pa	qj	qj1
BvAxiH	qjiz	Barjane	A.pa	-	qj2
BvAxiH	BqjIz	Barjane	A.pa	-	Bqj1
BvAxiH	ejqz	kampane	pa.pa	ej	ej1
BvAxiH	Brejqz	xIpwO	A.pa	-	Brej1
BvAxiH	BrAjqz	xIpwO	A.pa	BrAj	BrAj1
BvAxiH	Ijaz	gawO	A.pa	-	Ij1
BvAxiH	Ijaz	kuwsAyAm	A.pa	-	Ij1
BvAxiH	Sucaz	Soke	pa.pa	Suc#1	Suc1
BvAxiH	kucaz	Sabxe	pa.pa	-	kuc1
BvAxiH	kuncaz	alpIBAve	pa.pa	-	kunc1
BvAxiH	kuncaz	gawikOtilye	pa.pa	-	kunc1
BvAxiH	kuncaz	kOtilye	pa.pa	-	kunc1
BvAxiH	kruncaz	alpIBAve	pa.pa	kruFc#1	krunc1
BvAxiH	kruncaz	gawO	pa.pa	kruFc#1	krunc1
BvAxiH	kruncaz	kOtilye	pa.pa	kruFc#1	krunc1
BvAxiH	luncaz	apanayane	pa.pa	luFc	lunc1
BvAxiH	ancuz	gawO	A.pa	-	anc1
BvAxiH	ancuz	gawO	pa.pa	-	anc1
BvAxiH	ancuz	pUjane	pa.pa	aFc	anc1
BvAxiH	ancuz	yAFcAyAm	A.pa	aFc	anc1
BvAxiH	ancuz	yAFcAyAm	pa.pa	aFc	anc1
BvAxiH	vancuz	gawO	pa.pa	vaFc	vanc1
BvAxiH	cancuz	gawO	pa.pa	caFc	canc1
BvAxiH	wancuz	gawO	pa.pa	-	wanc1
BvAxiH	wvancuz	gawO	pa.pa	-	wvanc1
BvAxiH	mruncuz	gawO	pa.pa	-	mrunc1
BvAxiH	mluncuz	gawO	pa.pa	-	mlunc1
BvAxiH	mrucuz	gawO	pa.pa	-	mruc1
BvAxiH	mlucuz	gawO	pa.pa	-	mluc1
BvAxiH	grucuz	sweyakaraNe	pa.pa	-	gruc1
BvAxiH	glucuz	sweyakaraNe	pa.pa	-	gluc1
BvAxiH	kujuz	sweyakaraNe	pa.pa	-	kuj1
BvAxiH	Kujuz	sweyakaraNe	pa.pa	-	Kuj1
BvAxiH	gluncuz	gawO	pa.pa	-	glunc1
BvAxiH	Rasjaz	gawO	pa.pa	-	Rasj1
BvAxiH	gujiz	avyakwe_Sabxe	pa.pa	guFj	guj1
BvAxiH	arcaz	pUjAyAm	pa.pa	-	arc1
BvAxiH	mleCaz	avyakwAyAM_vAci	pa.pa	mlecC	mleC1
BvAxiH	mleCaz	avyakwe_Sabxe	pa.pa	mlecC	mleC1
BvAxiH	laCaz	lakRaNe	pa.pa	-	laC1
