Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	एतत् 	13	एतत् 	एतद्{नपुं}{1;एक}/एतद्{नपुं}{2;एक} 	एतद्{नपुं}{1;एक} 	विशेषणम्,2 	यह	this		
2	किम् 	12	किम् 	किम्{नपुं}{1;एक}/किम्{नपुं}{2;एक}/किम्{अव्य} 	किम्{नपुं}{1;एक} 	प्रतियोगी 3	क्या	what		
3	इति 	14	इति 	इति{अव्य} 	इति{अव्य} 	अनुयोगी 4	ऐसा	thus		
4	जनैः 	17	जनैः 	जन{पुं}{3;बहु} 	जन{पुं}{3;बहु} 	कर्ता,6 	जनों_के_द्वारा 	by the people		
5	आकुलम् 	15	आकुलम् 	आकुल{नपुं}{1;एक}/आकुल{नपुं}{2;एक} 	आकुल{नपुं}{1;एक} 	विशेषणम्,6 	सम्पूर्ण 	clearly		
6	ईक्षितम्. 	16	ईक्षितम् 	ईक्षित{पुं}{2;एक}/ईक्षित{नपुं}{1;एक}/ईक्षित{नपुं}{2;एक}. 	ईक्ष्1{कृत्_प्रत्ययः:क्त;ईक्षँ;भ्वादिः;नपुं}{1;एक}. 	0	देखा_गया	was seen		कर्मणि
