Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	सर्वतः 	11	सर्वतः 	सर्वतः{अव्य} 	सर्वतः{अव्य} 	अधिकरण, 5	सभी_जगह 	every where		
2	विसारि 	10	विसारि 	विसारिन्{नपुं}{1;एक}/विसारिन्{नपुं}{2;एक} 	विसारिन्{नपुं}{1;एक} 	विशेषणम्, 3 	प्रसार_करने_वाला 	spreading		
3	धाम 	9	धाम 	धामन्{नपुं}{1;एक}/धामन्{नपुं}{2;एक} 	धामन्{नपुं}{1;एक} 	कर्ता, 5 	धामन् 	brilliance		
4	अधः 	8	अधः 	अधः{अव्य} 	अधः{अव्य} 	देशाधिकरणम्, 5 	नीचे 	downwards		
5	पतति. 	7	पतति 	पत्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;पतॢँ;भ्वादिः}/पतत्{नपुं}{7;एक}. 	पत्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;पतॢँ;भ्वादिः}. 	0	गिरता_है. 	fall.		अकर्मककर्तरि
