Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	हविर्भुजः 	6	हविर्भुजः 	हविर्भुज्{पुं}{1;बहु}/हविर्भुज्{पुं}{2;बहु}/हविर्भुज्{पुं}{5;एक}/हविर्भुज्{पुं}{6;एक}/हविर्भुज्{पुं}{8;बहु} 	हविर्भुज्{पुं}{6;एक} 	षष्ठीसम्बन्धः2	अग्नि_का 	of fire	<हविस्-भुक्>T6	
2	ऊर्ध्व-ज्वलनम् 	5	ऊर्ध्वज्वलनं 	ऊर्ध्व-ज्वलन{पुं}{2;एक}/ज्वलन{नपुं}{1;एक}/ज्वलन{नपुं}{2;एक} 	ऊर्ध्व-ज्वल्1{कृत्_प्रत्ययः:ल्युट्;ज्वलँ;भ्वादिः;नपुं}{1;एक} 	विशेषणम्,3 	ऊर्ध्व-जलना 	upwards	<ऊर्धव-ज्वलनं>K3	
3	(प्रसिद्धं)	0	प्रसिद्धं 	प्रसिद्ध{पुं}{2;एक}/प्रसिद्ध{नपुं}{1;एक}/प्रसिद्ध{नपुं}{2;एक} 	प्रसिद्ध{नपुं}{1;एक} 	कर्ता,4 	प्रसिद्ध 	known		
4	(अस्ति). 	0	अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}. 	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}. 	0	है. 	is.		अकर्मककर्तरि
