Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	अनूरुसारथेः 	3	अनूरुसारथेः 	अनूरुसारथि{पुं}{5;एक}/अनूरुसारथि{पुं}{6;एक} 	अनूरुसारथि{पुं}{6;एक} 	षष्ठीसम्बन्धः, 2	अनूरुसारथि_से 	of the Sun	<<न-ऊरुः>Tn-सारथिः>T6	
2	गतं 	1	गतं 	गत{नपुं}{1;एक}/गत{नपुं}{2;एक}/गत{पुं}{2;एक} 	गम्1{कृत्_प्रत्ययः:क्त;गमॢँ;भ्वादिः}{नपुं}{1;एक} 	विशेषणम्,3	गमन	movement		
3	तिरश्चीनं 	2	तिरश्चीनं 	तिरश्चीन{पुं}{2;एक}/तिरश्चीन{नपुं}{1;एक}/तिरश्चीन{नपुं}{2;एक} 	तिरश्चीन{नपुं}{1;एक} 	विशेषणम्,4 	टेढा 	horizontal		
4	प्रसिद्धं 	4	प्रसिद्धं 	प्रसिद्ध{पुं}{2;एक}/प्रसिद्ध{नपुं}{1;एक}/प्रसिद्ध{नपुं}{2;एक} 	प्रसिद्ध{नपुं}{1;एक} 	कर्ता,5 	प्रसिद्ध 	known		
5	(अस्ति) 	0	अस्ति 	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}. 	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः}. 	0	है. 	is		अकर्मककर्तरि.
