Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	जनः 	6	जनः 	जन{पुं}{1;एक} 	जन{पुं}{1;एक} 	कर्ता,8	जन 	people		
2	उत्थितौ 	5	उत्थितौ 	उत्थित{पुं}{1;द्वि}/उत्थित{पुं}{2;द्वि}/उत्थिति{स्त्री}{7;एक} 	उद्_स्था1{कृत्_प्रत्ययः:क्त;ष्ठा;भ्वादिः;पुं}{2;द्वि} 	विशेषणम्,4	खडे _हुए	stood		
3	एतौ 	3	एतौ 	एतद्{पुं}{1;द्वि}/एतद्{पुं}{2;द्वि} 	एतद्{पुं}{2;द्वि} 	विशेषणम्,4	इनको 	these two		
4	तुषार-अञ्जन-पर्वतौ 	7	तुषार-अञ्जन-पर्वतौ 	तुषार-अञ्जन-पर्वत{पुं}{1;द्वि}/पर्वत{पुं}{2;द्वि} 	तुषार-अञ्जन-पर्वत{पुं}{1;द्वि} 	प्रतियोगी,5 	तुषार-अञ्जन-पर्वत 	mountains named tușār and aňjana (Snow and Collyrium)	<<तुषार-अञ्जन>Di-पर्वतौ>T6	
5	इव 	8	इव 	इव{अव्य} 	इव{अव्य} 	अनुयोगी,6	जैसे 	like		
6	यावत् 	2	यावत् 	यावत्{अव्य}/यावत्{नपुं}{1;एक}/यावत्{नपुं}{2;एक} 	यावत्{अव्य} 	सम्बन्धः,8 	जब_तक 	as long as		
7	न 	1	न 	न{अव्य} 	न{अव्य} 	सम्बन्धः,8 	नहीं 	not		
8	उदपश्यत् 	4	उदपश्यत् 	उद्_दृश्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;दृशिँर्;भ्वादिः} 	उद्_दृश्1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;दृशिँर्;भ्वादिः} 	0	देखा	saw		सकर्मककर्तरि
9	तावत् 	14	तावत् 	तावत्{अव्य}/तावत्{नपुं}{1;एक}/तावत्{नपुं}{2;एक} 	तावत्{अव्य}	सम्बन्धः,15	तब_तक 	till then		
10	चिरन्तनः 	13	चिरन्तनः 	चिरन्तन{पुं}{1;एक} 	चिरन्तन{पुं}{1;एक} 	विशेषणम्,11 	प्राचीन	ancient		
11	मुनिः 	12	मुनिः 	मुनि{पुं}{1;एक} 	मुनि{पुं}{1;एक} 	प्रयोजककर्ता,16 	मुनि 	sage		
12	स्वहस्तदत्ते 	9	स्वहस्त-दत्ते 	स्वहस्त-दत्त{पुं}{7;एक}/दत्त{नपुं}{1;द्वि}/दत्त{नपुं}{2;द्वि}/दत्त{नपुं}{7;एक}/दत्ता{स्त्री}{1;द्वि}/दत्ता{स्त्री}{2;द्वि} 	स्वहस्त-दा1{कृत्_प्रत्ययः:क्त;दाण्;भ्वादिः;नपुं}{7;एक} 	विशेषणम्,13 	अपने हाथ से दिये हुए	offered by his hand	<<स्वस्य-हस्तौ>T6-दत्तं>T3	
13	आसने 	11	आसने 	आसन{नपुं}{1;द्वि}/आसन{नपुं}{2;द्वि}/आसन{नपुं}{7;एक} 	आसन{नपुं}{7;एक} 	अधिकरणम्,15	आसन_में 	on the seat		
14	मुनिम् 	10	मुनिम् 	मुनि{पुं}{2;एक} 	मुनि{पुं}{2;एक} 	कर्म,15	मुनि_को 	to sage		
15	अभिन्यवीविशत्	15	अभिन्यवीविशत् 	अभि_नि_विश्1_णिच्{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;विशँ;तुदादिः}. 	अभि_नि_विश्1_णिच्{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;विशँ;तुदादिः}. 	0	बैठाया	made to sit		सकर्मककर्तरि
