Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	महा-महा-नीलशिला-रुचः 	1	महा-महा-नीलशिला-रुचः 	महा-महत्-नीलशिला-रुच्{स्त्री}{1;बहु}/रुच्{स्त्री}{2;बहु}/रुच्{स्त्री}{5;एक}/रुच्{स्त्री}{6;एक} 	महा-महा-नीलशिला-रुच्{पुं}{6;एक} 	विशेषणम्,2	विशाल इन्द्रनील मणि की कान्ति के समान कान्ति वाले	who possessed the brilliance of sapphire	<<महती-<महान्-नीलः>K3-<शिला>T6>K3-रुक्>B6	
2	कंस-कृषः 	4	कंस-कृषः 	कंस-कृष{पुं}{1;एक}/कंस-कृष{पुं}{6;एक}	कंस-कृष{पुं}{6;एक} 	षष्ठीसम्बन्धः,3	कंसहन्ता	slayer of Kamsa		
3	पुरः 	2	पुरः 	पुरः{अव्य}/पुर्{स्त्री}{1;बहु}/पुर्{स्त्री}{2;बहु}/पुर्{स्त्री}{5;एक}/पुर्{स्त्री}{6;एक} 	पुरः{अव्य} 	विशेषणम्,6	के _सामने	in front		
4	उच्चकैः 	9	उच्चकैः 	उच्चकैः{अव्य}	उच्चकैः{अव्य}	विशेषणम्,5	ऊँचे	high		
5	विष्टरे 	6	विष्टरे 	विष्टर{पुं}{7;एक} 	विष्टर{पुं}{7;एक} 	अधिकरणम्,6 	आसन_में 	seat		
6	निषेदिवान्	3	निषेदिवान् 	नि_षदलृ{क्तवतु}{पुं}{1.एक}	नि_षदलृ{क्तवतु}{पुं}{1.एक}	विशेषणम्,7	बैठे हुए	being seated		
7	सः 	5	सः 	तद्{पुं}{1;एक} 	तद्{पुं}{1;एक} 	प्रयोजककर्ता,12	वह 	he		
8	अभि-सायम् 	8	अभिसायं 	अभि-{अव्य}-सायम्{अव्य}	अभि--सायम्{अव्य}	सम्बन्धः,10	सायंकाल में	in the evening	<अभि-सायं>A1	
9	श्रित-उदयाद्रेः 	7	श्रितोदयाद्रेः 	श्रित-उदयाद्रि{पुं}{5;एक}/उदयाद्रि{पुं}{6;एक} 	श्रित-उदयाद्रि{पुं}{6;एक} 	विशेषणम्,10	उदयाचल आरूढ	which had ascended the udayāńchal mountain	<श्रितः-<उदय-आद्रिः>K6>B3	
10	चन्द्रमसः 	11	चन्द्रमसः 	चन्द्रमस्{पुं}{1;बहु}/चन्द्रमस्{पुं}{2;बहु}/चन्द्रमस्{पुं}{5;एक}/चन्द्रमस्{पुं}{6;एक} 	चन्द्रमस्{पुं}{6;एक} 	षष्ठीसम्बन्धः,11	चन्द्रमा_की 	of the moon		
11	अभिरामताम् 	12	अभिरामताम् 	अभिरामता{स्त्री}{2;एक} 	अभिरामता{स्त्री}{2;एक} 	कर्म,12	शोभा_को	splendor		
12	अचूचुरत्. 	10	अचूचुरत् 	चुर्1{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;चुरँ;चुरादिः}/चुर्1_णिच्{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;चुरँ;चुरादिः}/चूर्1_णिच्{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;चूरीँ;दिवादिः}. 	चुर्1_णिच्{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;चुरँ;चुरादिः}. 	0	चुरा लिये	had stolen		सकर्मककर्तरि
