Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	पतत्पतङ्ग-प्रतिमः 	1	पतत्पतङ्गप्रतिमः 	पतत्पतङ्ग-प्रतिम{पुं}{1;एक} 	पतत्पतङ्ग-प्रतिम{पुं}{1;एक} 	विशेषणम्,2	गिरते हुए सूर्य के समान	He who resembled the Sun coming down	<<पतत्-पतङ्गः>K3-प्रतिमा>B6	
2	तपोनिधिः 	2	तपोनिधिः 	तपोनिधि{पुं}{1;एक} 	तपोनिधि{पुं}{1;एक} 	कर्ता,8	तपोनिधि	treasure of penance	<तपो-निधिः>B6	
3	अस्य 	4	अस्य 	इदम्{पुं}{6;एक}/इदम्{नपुं}{6;एक}/अस्3{कर्तरि;लोट्;म;एक;परस्मैपदी;असुँ;दिवादिः} 	इदम्{पुं}{6;एक}	षष्ठीसम्बन्धः,4	इसका 	his		
4	पुरः 	3	पुरः 	पुरः{अव्य}/पुर्{स्त्री}{1;बहु}/पुर्{स्त्री}{2;बहु}/पुर्{स्त्री}{5;एक}/पुर्{स्त्री}{6;एक} 	पुरः{अव्य} 	क्रिया-विशेषणम्,8	सामने	in front		
5	भुवि 	7	भुवि 	भू{स्त्री}{7;एक} 	भू{स्त्री}{7;एक} 	अधिकरणम्,8 	पृथ्वी_में 	on the Earth		
6	यावत् 	5	यावत् 	यावत्{अव्य}/यावत्{नपुं}{1;एक}/यावत्{नपुं}{2;एक}/यावत्{नपुं}{8;एक} 	यावत्{अव्य} 	सम्बन्धः,8 	जब_तक 	as long as		
7	न 	6	न 	न{अव्य}/नस्{स्त्री}{8;एक} 	न{अव्य} 	सम्बन्धः,8 	नहीं 	not		
8	व्यलीयत 	8	व्यलीयत 	वि_ली1{कर्तरि;लङ्;प्र;एक;आत्मनेपदी;लीङ्;दिवादिः}/वि_ली1{कर्मणि;लङ्;प्र;एक;आत्मनेपदी;लीङ्;दिवादिः} 	वि_ली1{कर्तरि;लङ्;प्र;एक;आत्मनेपदी;लीङ्;दिवादिः} 	0	स्थित _हुए	alighted		अकर्मककर्तरि
9	तावत् 	12	तावत् 	तावत्{अव्य}/तावत्{नपुं}{1;एक}/तावत्{नपुं}{2;एक}/तावत्{नपुं}{8;एक} 	तावत्{अव्य} 	सम्बन्धः,17	तब_तक 	by that time		
10	अच्युतः 	17	अच्युतः 	अच्युत{पुं}{1;एक}/च्युत्1{कर्तरि;लुङ्;म;एक;परस्मैपदी;च्युतिँर्;भ्वादिः} 	अच्युत{पुं}{1;एक} 	कर्ता,17	श्रीकृष्ण	lord Srïkŗśņa		
11	गिरेः 	9	गिरेः 	गिरि{पुं}{5;एक}/गिरि{पुं}{6;एक}/गिरि{स्त्री}{5;एक}/गिरि{स्त्री}{6;एक}/गॄ1{कर्तरि;विधिलिङ्;म;एक;परस्मैपदी;गॄ;तुदादिः} 	गिरि{पुं}{6;एक} 	षष्ठीसम्बन्धः,12 	पर्वत_का 	of mountain		
12	तडित्वान् 	10	तडित्वान् 	तडित्वत्{पुं}{1;एक} 	तडित्वत्{पुं}{1;एक} 	प्रतियोगी,13 	मेघ के	cloud		
13	इव 	11	इव 	इव{अव्य} 	इव{अव्य} 	अनुयोगी,15	जैसे 	like		
14	उच्चकैः 	13	उच्चकैः 	उच्चकैः{अव्य}	उच्चकैः{अव्य}	विशेषणम्,15	ऊँचे 	from the high		
15	पीठात् 	15	पीठात् 	पीठ{पुं}{5;एक}/पीठ{नपुं}{5;एक} 	पीठ{नपुं}{5;एक} 	अपादान,17	सिंहासन_से 	from seat		
16	जवेन 	14	जवेन 	जव{पुं}{3;एक}/जव{नपुं}{3;एक} 	जव{पुं}{3;एक} 	क्रिया-विशेषणम्,17	वेगपूर्वक	hastily		
17	उदतिष्ठत्. 	16	उदतिष्ठत् 	उद्_स्था1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;ष्ठा;भ्वादिः}.	उद्_स्था1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;ष्ठा;भ्वादिः}. 	अभिहित_कर्ता,1. 	उठ गये	got up		अकर्मककर्तरि
