Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	निदाघ-धामनम् 	1	निदाघ-धामनम् 	निदाघ-धामन{पुं}{2;एक}/धामन{नपुं}{1;एक}/धामन{नपुं}{2;एक} 	निदाघ-धामन{नपुं}{2;एक} 	प्रतियोगी,2	सूर्य_के समान उष्णतेजस_को	brilliant like the Sun	<निदाघ-धाम>B6	
2	इव 	2	इव 	इव{अव्य} 	इव{अव्य} 	अनुयोगी,3	जैसे 	like		
3	अधि-दीधितिं 	3	अधि-दीधितिं 	अधि-दीधिति{स्त्री}{2;एक}/दीधिति{पुं}{2;एक} 	अधि-दीधिति{स्त्री}{2;एक}	विशेषणम्,4	परम तेजस्वी_को	who possessed abundant lustre	<अधि-दीधितिः>B6	
4	मुनिम् 	6	मुनिम् 	मुनि{पुं}{2;एक} 	मुनि{पुं}{2;एक} 	कर्म,****	मुनि_को 	sage		
5	अभि 	7	अभि 	अभि{अव्य} 	अभि{अव्य} 	****	सामने	towards		
6	मुदा 	4	मुदा 	मुद्{स्त्री}{3;एक}/मुदा{स्त्री}{1;एक} 	मुद्{स्त्री}{3;एक}	हेतु,****	हर्ष_से 	with happiness		
7	विकासम् 	5	विकासम् 	विकास{पुं}{2;एक} 	विकास{पुं}{2;एक} 	****	खिलने_को 	wide opened		
8	उपेयुषी	8	उपेयुषी 	उपेयुषी{स्त्री}{1;एक} 	उपेयुषी{स्त्री}{1;एक} 	****	हुए	becoming		
9	अधिश्रितश्रिणी 	11	अधिश्रितश्रिणी 	अधिश्रितश्रिणी{नपुं}{1;द्वि}/अश्रि{नपुं}{2;द्वि}	अधिश्रितश्रिणी{नपुं}{2;द्वि}	विशेषणम्,10	विशेष काँति_से	with special charm	<अधि-श्रितश्रीः>B6	
10	विलोचने 	9	विलोचने 	विलोचन{नपुं}{1;द्वि}/विलोचन{नपुं}{2;द्वि}/विलोचन{नपुं}{7;एक} 	विलोचन{नपुं}{2;द्वि} 	****	आँखें 	eyes		
11	बिभ्रत् 	10	बिभ्रत् 	बिभ्रत्{नपुं}{1;एक}/बिभ्रत्{नपुं}{2;एक} 	भृ2{कृत्_प्रत्ययः:शतृ;डुँभृञ्;जुहोत्यादिः;नपुं}{1;एक}	****	धारण_करते_हुए	bearing		
12	सः 	12	सः 	तद्{पुं}{1;एक} 	तद्{पुं}{1;एक} 	विशेषणम्,13	वह 	that		
13	पुण्डरीकाक्षः 	13	पुण्डरीकाक्षः 	पुण्डरीक-अक्ष{पुं}{1;एक} 	पुण्डरीक-अक्ष{पुं}{1;एक} 	प्रतियोगी,14	कमल_के समान आँखें वाले	who possessed eyes that resembled lotus	<पुण्डरीक- अक्षः>B6	
14	इति 	14	इति 	इति{अव्य} 	इति{अव्य} 	अनुयोगी,15	ऐसा 	thus		
15	स्फुटः 	15	स्फुटः 	स्फुट{पुं}{1;एक} 	स्फुट{पुं}{1;एक} 	****	स्पष्ट	clear		
16	अभवत्. 	16	अभवत् 	भू1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;भू;भ्वादिः}. 	भू1{कर्तरि;लङ्;प्र;एक;परस्मैपदी;भू;भ्वादिः}. 	0	हुआ. 	became.		अकर्मककर्तरि
