Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	अशेष-तीर्थ-उपहृताः 	1	अशेष-तीर्थ-उपहृताः 	अशेष-तीर्थ-उपहृत{पुं}{1;बहु}/उपहृता{स्त्री}{1;बहु}/उपहृता{स्त्री}{2;बहु} 	अशेष-तीर्थ-उपहृत{पुं}{1;बहु}	विशषणम्,6	समस्त तीर्थों से लाये गये	the sacred water collected from all the sacred rivers	<<न-शेषः>B6-तीर्थानि>K1	
2	ऋषिणा 	5	ऋषिणा 	ऋषि{पुं}{3;एक} 	ऋषि{पुं}{3;एक} 	कर्ता,6	ऋषि_से 	by he sage		
3	कमण्डलोः 	2	कमण्डलोः 	कमण्डलु{पुं}{5;एक}/कमण्डलु{पुं}{6;एक} 	कमण्डलु{पुं}{5;एक} 	अपादानम्,5	कमण्डलु_से 	from his kamaņdala		
4	पाणौ 	4	पाणौ 	पाण{पुं}{1;द्वि}/पाण{पुं}{2;द्वि}/पाणि{पुं}{7;एक} 	पाणि{पुं}{7;एक} 	अधिकरणम्,5 	हाथ_में 	in his hand		
5	निधाय 	3	निधाय 	निधाय{अव्य}/नि-धा1{कृत्_प्रत्ययः:ल्यप्;डुधाञ्;जुहोत्यादिः} 	निधाय-धा1{कृत्_प्रत्ययः:ल्यप्;डुधाञ्;जुहोत्यादिः} 	पूर्वकालः,6	धारण_करके 	having taken		
6	अभ्युदीरिताः 	6	अभ्युदीरिताः 	अभ्युदीरित{पुं}{1;बहु}/अभ्युदीरिता{स्त्री}{1;बहु}/अभ्युदीरिता{स्त्री}{2;बहु} 	अभ्युदीरित{पुं}{1;बहु}	विशषणम्,9	छिडके गये	having sprinkled		कर्मणि
7	अघौघ-विध्वंस-विधौ 	7	अघौघ-विध्वंस-विधौ 	अघौघ-विध्वंस-विध{पुं}{1;द्वि}/विध{पुं}{2;द्वि}/विधु{पुं}{7;एक}/विधि{पुं}{7;एक} 	अघौघ-विध्वंस-विधि{पुं}{7;एक} 	अधिकरणम्,13 	पाप समूह_को नष्ट करने_में	Sin-dispeller	<<<अघ-आघः>T6-विध्वंसः>T6-विधिः>T6	
8	पटीयसीः 	8	पटीयसीः 	पटीयसी{स्त्री}{2;बहु} 	पटीयसी{स्त्री}{2;बहु} 	विशषणम्,9	समर्थ	able to		
9	अपः 	13	अपः 	अपस्{स्त्री}{1;बहु}/अपस्{स्त्री}{2;बहु}/अपस्{नपुं}{1;एक}/अपस्{नपुं}{2;एक} 	अपस्{स्त्री}{2;बहु}	कर्म,13	जल_को	water		
10	हरिः 	11	हरिः 	हरि{पुं}{1;एक} 	हरि{पुं}{1;एक} 	कर्ता,13	हरि_ने	Lord Hari		
11	नतेन 	9	नतेन 	नत{पुं}{3;एक} 	नत{पुं}{3;एक}	विशषणम्,12	नम्र _से	with a bowed		
12	मूर्ध्ना 	10	मूर्ध्ना 	मूर्धन्{पुं}{3;एक}	मूर्धन्{पुं}{3;एक}	करणम्,13 	मस्तक_से	head		
13	अग्रहीत्. 	12	अग्रहीत् 	ग्रह्1{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;ग्रहँ;क्र्यादिः}. 	ग्रह्1{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;ग्रहँ;क्र्यादिः}. 	0	ग्रहण किया.	accepted		सकर्मककर्तरि
