Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	प्रजा-क्षेम-कृता 	2	प्रजा-क्षेम-कृता 	प्रजा-क्षेम-कृत्{पुं}{3;एक}/कृता{स्त्री}{1;एक} 	प्रजा-क्षेम-कृत्{पुं}{3;एक} 	कर्ता,14 	लोगों_के_कल्याण कर्ता_के_द्वारा 	working for the welfare of the people	<<प्रजा-क्षेमं>T6-कृतः>U	
2	सुपात्र-निक्षेप-निराकुल-आत्मना 	4	सुपात्र-निक्षेप-निराकुल-आत्मना 	सुपात्र-निक्षेप-निराकुल-आत्मन्{पुं}{3;एक} 	सुपात्र-निक्षेप-निराकुल-आत्मन्{पुं}{3;एक} 	विशेषणम्,3 	सत्पात्र_में_रखने_से_निराकुल_चित्त वाले_से	possessing a mind free from anxiety on account of entrusting to a worthy receipent	<<सुपात्र-निक्षेपः>T7-<निराकुल-आत्मा>K3>B6	
3	प्रजासृजा 	3	प्रजासृजा 	प्रजासृज्{पुं}{3;एक} 	प्रजासृज्{पुं}{3;एक} 	करणम्,14 	ब्रह्मा_से	by the creator	<प्रजा-सृट्>U	
4	त्वं 	9	त्वं 	युष्मद्{1;एक} 	युष्मद्{1;एक} 	कर्ता,11 	तुमने 	you		
5	धन-सम्पदाम् 	13	धन-सम्पदाम् 	धन-सम्पद्{स्त्री}{6;बहु} 	धन-सम्पद्{स्त्री}{6;बहु} 	प्रतियोगी,6 	धन-सम्पत्तियों_का 	of abundant riches	<धन-सम्पदः>T6	
6	इव 	14	इव 	इव{अव्य} 	इव{अव्य} 	अनुयोगी,7 	जैसे 	like		
7	श्रुतीनां 	12	श्रुतीनां 	श्रुति{स्त्री}{6;बहु} 	श्रुति{स्त्री}{6;बहु} 		श्रुतियों_का 	of the Vedas		
8	सदा 	5	सदा 	सदा{अव्य}/सदा{अव्य} 	सदा{अव्य} 	कालाधिकरणम्,11 	हमेशा 	always		
9	उपयोगे 	6	उपयोगे 	उपयोग{पुं}{7;एक} 	उपयोग{पुं}{7;एक} 	अधिकरणम्,11 	उपयोग_में 	in constant use		
10	अपि 	7	अपि 	अपि{अव्य} 	अपि{अव्य} 	सम्बन्धः,9 	भी 	also		
11	अक्षयः 	10	अक्षयः	अक्षय{पुं}{1;एक}	अक्षय{पुं}{1;एक}	अभिहित_कर्ता,4 	अक्षय	inexhaustible	<न-क्षयः>Tn	
12	गुरुः 	8	गुरुः 	गुरु{पुं}{1;एक} 	गुरु{पुं}{1;एक} 	विशेषणम्,13 	महान्	great		
13	निधिः 	11	निधिः 	निधि{पुं}{1;एक} 	निधि{पुं}{1;एक} 	विशेषणम्,14 	निधि 	Treasure-house		
14	कृतः. 	1	कृतः 	कृत्{पुं}{1;बहु}/कृत्{पुं}{2;बहु}/कृत्{पुं}{5;एक}/कृत्{पुं}{6;एक}/कृत्{पुं}{8;बहु}/कृत{पुं}{1;एक}. 	कृ2{कृत्_प्रत्ययः:क्त;कृञ्;स्वादिः;पुं}{1;एक}. 	अभिहित_कर्ता,1. 	निर्माण_किया.	made.		कर्मणि
