Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	नव-अम्बुदश्याम-तनुः 	6	नव-अम्बुदश्याम-तनुः 	नव-अम्बुदश्याम-तनु{पुं}{1;एक}/तनु{स्त्री}{1;एक}/तनुस्{नपुं}{1;एक}/तनुस्{नपुं}{2;एक} 	नव-अम्बुदश्याम-तनु{पुं}{1;एक} 	विशेषणम्,2 	नये मेघ के समान श्याम शरीर	was resembling the new cloud (with his dark complexion)	<<नव-अम्बुदः>K3-<श्याम-तनुः>K3>B6	
2	सः 	1	सः 	तद्{पुं}{1;एक} 	तद्{पुं}{1;एक} 	कर्ता,7	वह (श्रीकृष्ण)	he (Srïkŗśņa)		
3	मुनेः 	4	मुनेः 	मुनि{पुं}{5;एक}/मुनि{पुं}{6;एक} 	मुनि{पुं}{6;एक} 	षष्ठीसम्बन्धः,4 	मुनि_की 	of the sage		
4	अनुज्ञया 	5	अनुज्ञया 	अनुज्ञा{स्त्री}{3;एक} 	अनुज्ञा{स्त्री}{3;एक} 	हेतुः,7 	अनुज्ञा_से 	permission		
5	काञ्चने 	2	काञ्चने 	काञ्चन{नपुं}{1;द्वि}/काञ्चन{नपुं}{2;द्वि}/काञ्चन{नपुं}{7;एक} 	काञ्चन{नपुं}{7;एक} 	अधिकरणम्,7	सोने_का_बना_हुओं_का 	golden seat		
6	यत्र 	3	यत्र 	यत्र{अव्य} 	यत्र{अव्य} 	विशेषणम्,5	जहां 	where		
7	न्यविक्षत 	7	न्यविक्षत 	नि_विश्1{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;विशँ;तुदादिः} 	नि_विश्1{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;विशँ;तुदादिः} 	0	बैठा_है	sat		अकर्मककर्तरि
8	तत् 	13	तत् 	तद्{नपुं}{1;एक}/तद्{नपुं}{2;एक} 	तद्{नपुं}{1;एक} 	विशेषणम्,9 	उस 	there		
9	आसनं 	14	आसनं 	आसन{नपुं}{1;एक}/आसन{नपुं}{2;एक} 	आसन{नपुं}{1;एक} 	कर्ता,14	आसन	seat		
10	तदा 	12	तदा 	तदा{अव्य} 	तदा{अव्य} 	कालाधिकरणम्,14	तब 	then		
11	जम्बू-जनित-श्रियः 	9	जम्बू-जनित-श्रियः 	जम्बू-जनित-श्री{स्त्री}{1;बहु}/श्री{स्त्री}{5;एक}/श्री{स्त्री}{6;एक}/श्री{स्त्री}{2;बहु} 	जम्बू-जनित-श्री{स्त्री}{6;एक} 	विशेषणम्,12	जामुन से शोभायमान	adorned with Jāmun tree	<<जम्बू-जनित>T3-श्रीः>B6	
12	सुमेरु-श्रृङ्गस्य 	11	सुमेरु-श्रृङ्गस्य 	सुमेरु-श्रृङ्ग{नपुं}{6;एक} 	सुमेरु-श्रृङ्ग{नपुं}{6;एक} 	षष्ठीसम्बन्धः,13	सुमेरु_पर्वत-की_चोटी_की	of the peaks of Sumeru mountain	<सुमेरु-शृङ्गम्>T6	
13	श्रियं 	10	श्रियं 	श्री{स्त्री}{2;एक} 	श्री{स्त्री}{2;एक} 	कर्म,14 	शोभा_को	beauty		
14	जिगाय. 	8	जिगाय 	जि1{कर्तरि;लिट्;उ;एक;परस्मैपदी;जि;भ्वादिः}/जि1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;जि;भ्वादिः}. 	जि1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;जि;भ्वादिः}. 	0	जीता. 	won over		सकर्मककर्तरि
