Anvaya_no	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	hindi_meaning	English_meaning	samaasa	prayoga
1	निसर्ग-चित्रोज्ज्वल-सूक्ष्मपक्ष्मणा 	1	निसर्ग-चित्रोज्वल-सूक्ष्मपक्ष्मणा 	निसर्ग-चित्रोज्वल-सूक्ष्मपक्ष्मणा{नपुं}{3;एक}	निसर्ग-चित्रोज्वल-सूक्ष्मपक्ष्मणा{नपुं}{3;एक}	विशेषणम्,4	स्वभाव से सफेद और कोमल बालों से युक्त	One who is naturally fair and had splendrous and tender hari	<निसर्ग-<चित्र-उज्ज्वल-सूक्ष्माणि>B***>B6	
2	लसद्-बिसच्छेद-सिताङ्गसङ्गिना 	2	लसद्-बिसच्छेद-सिताङ्गसङ्गिना 	लसद्-बिसच्छेद-सिताङ्गसङ्गिना{पुं}{3;एक} 	लसद्-बिसच्छेद-सिताङ्गसङ्गिना{पुं}{3;एक}	विशेषणम्,4	कमल की डंडी के समान उज्जवल	resembling the fair lotus stalk	<<<लसद्-बिसच्छेद>K3-सितं>K4-सङ्गिना>B6	
3	चारु-चमूरु-चर्मणा 	4	चारुचमूरुचर्मणा 	चारु-चमूरु-चर्मन्{नपुं}{3;एक} 	चारु-चमूरु-चर्मन्{नपुं}{3;एक} 	विशेषणम्,4	सुन्दर मृगचर्म को धारण करते हुए	bearing the beautiful skin of Chittala der	<चारु-<चमूरु-चर्मणा>T6>K1	
4	कुथेन 	5	कुथेन 	कुथ{पुं}{3;एक}/कुथ{नपुं}{3;एक} 	कुथ{पुं}{3;एक}	करण,8	छींट_की_बनी_हाथी_की_झूल_से 	a multi coloured carpet (put on elephants)		
5	इन्द्रवाहनं 	8	इन्द्रवाहनं 	इन्द्रवाहन{नपुं}{1;एक}/इन्द्रवाहन{नपुं}{2;एक} 	इन्द्रवाहन{नपुं}{2;एक} 	विशेषणम्,6	इन्द्रवाहन, ऐरावत	Airāvatha, vehicle of Indra	<इन्द्र-वाहनम्>T6	
6	नागेन्द्रम् 	6	नागेन्द्रम् 	नागेन्द्र{पुं}{2;एक} 	नागेन्द्र{पुं}{2;एक} 	प्रतियोगी,7	गजेन्द्र	the elephant lord	<नाग-इन्द्र>T6	
7	इव 	7	इव 	इव{अव्य} 	इव{अव्य} 	अनुयोगी,8	जैसे 	like		
8	चकासतम्	3	चकासतम् 	चकासृ1{कृत्_प्रत्ययः:शानच्;नपुं}{2;एक} 	चकासृ1{कृत्_प्रत्ययः:शानच्;नपुं}{2;एक} 	विशेषणम्,10	शोभायमान	embellished		
9	(अमुं)	0	अमुं	अदस्{पुं}{2;एक}	अदस्{पुं}{2;एक}	विशेषणम्,10	उस_को	him		
10	(नारदः)	0	नारदः	नारद{पुं}{1;एक}	नारद{पुं}{1;एक}	प्रतियोगी,11	नारद मुनि	Sage Nārada		
11	(इति)	0	इति	इति{अव्य}	इति{अव्य}	अनुयोगी,12	ऐसा	thus		
12	(सः)	0	सः	तद्{पुं}{1;एक}	तद्{पुं}{1;एक}	कर्ता,13	उस_ने	he		
13	(अबोधि)	0	अबोधि	बुध्1{कर्मणि;लुङ्;प्र;एक;आत्मनेपदी;बुधँ;भ्वादिः}/बुध्2{कर्मणि;लुङ्;प्र;एक;आत्मनेपदी;बुधिँर्;भ्वादिः}/बुध्3{कर्तरि;लुङ्;प्र;एक;आत्मनेपदी;बुधँ;दिवादिः}/बुध्3{कर्मणि;लुङ्;प्र;एक;आत्मनेपदी;बुधँ;दिवादिः}. 	बुध्3{कर्तरि;लुङ्;प्र;एक;आत्मनेपदी;बुधँ;दिवादिः}. 	0	जाना	understood.		सकर्मककर्तरि
